Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0048261~negative regulation of receptor-mediated endocytosis	2	1.6	0.03678207446493724	APOC3, APOC2	102	5	13528	53.05098039215686	1.0	0.9686759622703894	45.11384543384271
GOTERM_BP_FAT	GO:0048878~chemical homeostasis	9	7.199999999999999	0.037532758594165855	CD38, ERBB4, TRPC6, ATP4A, APOC3, LTF, APOC2, ATP1A2, SLC34A2	102	512	13528	2.331341911764706	1.0	0.9617444622471982	45.79460591415757
GOTERM_BP_FAT	GO:0033189~response to vitamin A	3	2.4	0.039161414723989936	CD38, ALDH1A2, HSD17B2	102	42	13528	9.473389355742297	1.0	0.9577655726987472	47.24443477086088
GOTERM_BP_FAT	GO:0030098~lymphocyte differentiation	4	3.2	0.04179256071724062	CD3D, IKZF1, ZAP70, RHOH	102	103	13528	5.150580620597753	1.0	0.9574164499647597	49.510111440131645
GOTERM_BP_FAT	GO:0006720~isoprenoid metabolic process	3	2.4	0.042618328882242235	ALDH1A2, HMGCS2, RLBP1	102	44	13528	9.042780748663102	1.0	0.9511390845251843	50.20215530111689
GOTERM_BP_FAT	GO:0007265~Ras protein signal transduction	4	3.2	0.04383545886317068	DOK3, GRAP, APOC3, COL1A2	102	105	13528	5.052474323062558	1.0	0.9462917925003381	51.20598721839743
GOTERM_BP_FAT	GO:0010984~regulation of lipoprotein particle clearance	2	1.6	0.0439761150229617	APOC3, APOC2	102	6	13528	44.209150326797385	1.0	0.9373880059946132	51.32076298763415
GOTERM_BP_FAT	GO:0010896~regulation of triglyceride catabolic process	2	1.6	0.0439761150229617	APOC3, APOC2	102	6	13528	44.209150326797385	1.0	0.9373880059946132	51.32076298763415
GOTERM_BP_FAT	GO:0032372~negative regulation of sterol transport	2	1.6	0.05111695309365265	APOC3, APOC2	102	7	13528	37.89355742296918	1.0	0.9532328886477753	56.82614267861654
GOTERM_BP_FAT	GO:0032375~negative regulation of cholesterol transport	2	1.6	0.05111695309365265	APOC3, APOC2	102	7	13528	37.89355742296918	1.0	0.9532328886477753	56.82614267861654
GOTERM_BP_FAT	GO:0045059~positive thymic T cell selection	2	1.6	0.05111695309365265	CD3D, ZAP70	102	7	13528	37.89355742296918	1.0	0.9532328886477753	56.82614267861654
GOTERM_BP_FAT	GO:0019216~regulation of lipid metabolic process	4	3.2	0.05137071505360511	APOC3, SERPINA3, APOC2, FABP1	102	112	13528	4.736694677871148	1.0	0.9462965171350486	57.010601847190024
GOTERM_BP_FAT	GO:0019217~regulation of fatty acid metabolic process	3	2.4	0.05173204844020283	APOC3, APOC2, FABP1	102	49	13528	8.120048019207683	1.0	0.9395020091067103	57.27197978351707
GOTERM_BP_FAT	GO:0009896~positive regulation of catabolic process	3	2.4	0.05173204844020283	GAPDHS, APOC2, FABP1	102	49	13528	8.120048019207683	1.0	0.9395020091067103	57.27197978351707
GOTERM_BP_FAT	GO:0042592~homeostatic process	11	8.799999999999999	0.05350976119964195	CD38, ERBB4, TRPC6, ATP4A, APOC3, SERPINA3, LTF, APOC2, HEPH, ATP1A2, SLC34A2	102	751	13528	1.9426124644265164	1.0	0.9374775049398343	58.53637017538307
GOTERM_BP_FAT	GO:0048545~response to steroid hormone stimulus	5	4.0	0.055573872054728975	PRSS8, CD38, ALDH1A2, ERBB4, SLC34A2	102	192	13528	3.4538398692810457	1.0	0.9365158328715645	59.960429965776804
GOTERM_BP_FAT	GO:0051186~cofactor metabolic process	5	4.0	0.05818677455735873	GGT5, GPD1, BAAT, PIPOX, ACSL6	102	195	13528	3.4007038712921065	1.0	0.9373449479599887	61.69738305900747
GOTERM_BP_FAT	GO:0070328~triglyceride homeostasis	2	1.6	0.05820497822149207	APOC3, APOC2	102	8	13528	33.15686274509804	1.0	0.9300632443276307	61.709232459628495
GOTERM_BP_FAT	GO:0031667~response to nutrient levels	5	4.0	0.059964893469815594	CD38, ALDH1A2, HSD17B2, HMGCS2, ALB	102	197	13528	3.3661789588932023	1.0	0.9284694731582054	62.83873409261113
GOTERM_BP_FAT	GO:0042398~cellular amino acid derivative biosynthetic process	3	2.4	0.061471036297425605	GGT5, DDC, PNMT	102	54	13528	7.368191721132898	1.0	0.9261562131871988	63.78048408225781
GOTERM_BP_FAT	GO:0046649~lymphocyte activation	5	4.0	0.06177184554283429	ITGAL, CD3D, IKZF1, ZAP70, RHOH	102	199	13528	3.3323480145827173	1.0	0.9199765510105262	63.96587088550969
GOTERM_BP_FAT	GO:0008202~steroid metabolic process	5	4.0	0.06453609924325578	BAAT, AKR1C4, HSD17B2, HMGCS2, APOC3	102	202	13528	3.2828576975344594	1.0	0.9220109240657539	65.6283061508431
GOTERM_BP_FAT	GO:0015991~ATP hydrolysis coupled proton transport	2	1.6	0.06524057712640027	ATP4A, ATP1A2	102	9	13528	29.472766884531588	1.0	0.9174207019267321	66.04033309379541
GOTERM_BP_FAT	GO:0043368~positive T cell selection	2	1.6	0.06524057712640027	CD3D, ZAP70	102	9	13528	29.472766884531588	1.0	0.9174207019267321	66.04033309379541
GOTERM_BP_FAT	GO:0015988~energy coupled proton transport, against electrochemical gradient	2	1.6	0.06524057712640027	ATP4A, ATP1A2	102	9	13528	29.472766884531588	1.0	0.9174207019267321	66.04033309379541
GOTERM_BP_FAT	GO:0010565~regulation of cellular ketone metabolic process	3	2.4	0.06759056875257188	APOC3, APOC2, FABP1	102	57	13528	6.980392156862745	1.0	0.918209532439338	67.38153055299364
GOTERM_BP_FAT	GO:0042534~regulation of tumor necrosis factor biosynthetic process	2	1.6	0.07222413372909192	CARD9, TNFRSF8	102	10	13528	26.52549019607843	1.0	0.9255784110128391	69.88180775121175
GOTERM_BP_FAT	GO:0033700~phospholipid efflux	2	1.6	0.07222413372909192	APOC3, APOC2	102	10	13528	26.52549019607843	1.0	0.9255784110128391	69.88180775121175
GOTERM_BP_FAT	GO:0002521~leukocyte differentiation	4	3.2	0.07471655653699648	CD3D, IKZF1, ZAP70, RHOH	102	131	13528	4.049693159706631	1.0	0.9264422241522388	71.1512445890355
GOTERM_BP_FAT	GO:0007155~cell adhesion	10	8.0	0.07763341663114734	PPFIA2, PARVG, ITGAL, PKP1, NFASC, CNTN1, ESAM, CDH11, EMILIN1, SPON1	102	700	13528	1.8946778711484595	1.0	0.9283466135482176	72.57311861042507
GOTERM_BP_FAT	GO:0022610~biological adhesion	10	8.0	0.07817139303463794	PPFIA2, PARVG, ITGAL, PKP1, NFASC, CNTN1, ESAM, CDH11, EMILIN1, SPON1	102	701	13528	1.8919750496489607	1.0	0.9241569573614603	72.82807928963469
GOTERM_BP_FAT	GO:0042493~response to drug	5	4.0	0.07827782129261476	PRSS8, CARD9, ERBB4, HMGCS2, ATP4A	102	216	13528	3.070079883805374	1.0	0.918813373606622	72.87825433685029
GOTERM_BP_FAT	GO:0042423~catecholamine biosynthetic process	2	1.6	0.079156029163597	DDC, PNMT	102	11	13528	24.114081996434937	1.0	0.9155597690292664	73.28897773878514
GOTERM_BP_FAT	GO:0048732~gland development	4	3.2	0.0801410552056876	PGR, ALDH1A2, ERBB4, IKZF1	102	135	13528	3.9297022512708786	1.0	0.9126560338134138	73.74271704558971
GOTERM_BP_FAT	GO:0009991~response to extracellular stimulus	5	4.0	0.08245396081674142	CD38, ALDH1A2, HSD17B2, HMGCS2, ALB	102	220	13528	3.014260249554367	1.0	0.9134454710925306	74.77988234207898
GOTERM_BP_FAT	GO:0030855~epithelial cell differentiation	4	3.2	0.08291624784104228	PGR, UPK1B, SPRR3, IVL	102	137	13528	3.8723343351939317	1.0	0.9092619373723271	74.98252302881235
GOTERM_BP_FAT	GO:0005996~monosaccharide metabolic process	5	4.0	0.08458282949465099	GAPDHS, GPD1, RENBP, PKLR, FN3K	102	222	13528	2.987104751810634	1.0	0.9084112307167209	75.7004587112752
GOTERM_BP_FAT	GO:0033273~response to vitamin	3	2.4	0.08705951282764857	CD38, ALDH1A2, HSD17B2	102	66	13528	6.028520499108734	1.0	0.9097405305367761	76.73177338664783
GOTERM_BP_FAT	GO:0007584~response to nutrient	4	3.2	0.08715601857161609	CD38, ALDH1A2, HSD17B2, HMGCS2	102	140	13528	3.789355742296919	1.0	0.9048081949502758	76.77111629038713
GOTERM_BP_FAT	GO:0060429~epithelium development	5	4.0	0.09002245683492449	PGR, ALDH1A2, UPK1B, SPRR3, IVL	102	227	13528	2.9213094929601797	1.0	0.9072344381678236	77.91164805792198
GOTERM_BP_FAT	GO:0051129~negative regulation of cellular component organization	4	3.2	0.09003295502229235	APOC3, VIL1, APOC2, NGFR	102	142	13528	3.7359845346589338	1.0	0.902228953953081	77.91572698796114
GOTERM_BP_FAT	GO:0050996~positive regulation of lipid catabolic process	2	1.6	0.09286634727798924	APOC2, FABP1	102	13	13528	20.404223227752638	1.0	0.904608486509417	78.99115824914827
GOTERM_BP_FAT	GO:0045061~thymic T cell selection	2	1.6	0.09286634727798924	CD3D, ZAP70	102	13	13528	20.404223227752638	1.0	0.904608486509417	78.99115824914827
GOTERM_BP_FAT	GO:0050778~positive regulation of immune response	4	3.2	0.09442242734546792	SH2D1A, CARD9, ZAP70, HLA-DRA	102	145	13528	3.6586883029073696	1.0	0.903699435772125	79.56069027286303
